Kode_Okupasi,Okupasi,Kode_Unit_Kompetensi,Judul_Unit_Kompetensi,Status_UK,Referensi
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),TIK.SM02.015.01,Mengesahkan Dan Menerapkan Layanan Kepada Pengguna,Dicabut,Nomor 610 Tahun 2012
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),J.620200.001.01,Menentukan Metode Pemodelan Arsitektur Bisnis dan Business Building Block yang Diperlukan,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),J.620200.003.01,"Menetapkan Baseline dan Target Arsitektur Bisnis, serta Kesenjangan antara Baseline dan Target Arsitektur Bisnis",Berlaku,Nomor 90 Tahun 2015
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),J.620200.004.01,Menyusun Roadmap Arsitektur Bisnis,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),J.620200.006.01,Memfinalisasikan Arsitektur Bisnis,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),M.702090.001.01,Mengelola Proyek Secara Terintegrasi (Project Integration Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),M.702090.008.01,Mengelola Risiko Proyek (Project Risk Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),M.702090.009.01,Mengelola Pengadaan-Pengadaan Proyek (Project Procurement Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),M.702090.010.01,Mengelola Stakeholder Proyek (Project Stakeholder Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),TIK.2017.023,Mengawasi perubahan dan memperkirakan resikonya,Berlaku,
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),TIK.2017.042,Mengelola penyebaran sumber daya organisasi,Berlaku,
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),TIK.2017.045,Mengestimasi biaya dan pengalokasiannya,Berlaku,
TIK.ITG0805,SPESIALIS PENASIHAT TI (SPECIALIST IT ADVISOR),ICTSAS305,Provide ICT advice to clients,,ICTSAS
TIK.ITG0805,SPESIALIS PENASIHAT TI (SPECIALIST IT ADVISOR),ICTSUS601,Integrate sustainability in ICT planning and design projects,,ICTSUS
TIK.ITG0805,SPESIALIS PENASIHAT TI (SPECIALIST IT ADVISOR),ICTSUS602,Establish a business case for sustainability and competitive advantage in ICT projects,,ICTSUS
TIK.ITG0805,SPESIALIS PENASIHAT TI (SPECIALIST IT ADVISOR),ICTSUS802,Conduct a business case study for integrating sustainability in ICT planning and design projects,,ICTSUS
TIK.ITG0805,SPESIALIS PENASIHAT TI (SPECIALIST IT ADVISOR),ICTSUS805,Manage improvements in ICT sustainability,,ICTSUS
TIK.ITG0805,SPESIALIS PENASIHAT TI (SPECIALIST IT ADVISOR),ICTTEN501,Provide consultancy and technical support in the customer premises equipment sector,,ICTTEN
TIK.ITG0805,SPESIALIS PENASIHAT TI (SPECIALIST IT ADVISOR),ICTTEN509,Provide expert advice and support on complex faults,,ICTTEN
TIK.ITG0806,KEPALA KONSULTAN TI (LEAD IT CONSULTANT),ICAICT703A,Endorse business plan components for a new initiative,,ICAICT
TIK.ITG0806,KEPALA KONSULTAN TI (LEAD IT CONSULTANT),ICAICT707A,Direct research and business response to new ICT technology,,ICAICT
TIK.ITG0806,KEPALA KONSULTAN TI (LEAD IT CONSULTANT),ICAICT708A,Direct the development of a knowledge management strategy for a business,,ICAICT
TIK.ITG0806,KEPALA KONSULTAN TI (LEAD IT CONSULTANT),ICAICT709A,Facilitate business analysis,,ICAICT
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),BSBINN801,Lead Innovative Thinking and Practice (Memimpin Pemikiran dan Praktek Inovatif),Berlaku,Nomor 22 Tahun 2019
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),BSBLDR803,Develop and cultivate collaborative partnerships and relationships,,BSBLDR
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),ICTSUS802,Conduct a business case study for integrating sustainability in ICT planning and design projects,,ICTSUS
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),ICTSUS804,Use ICT to improve sustainability outcomes,,ICTSUS
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),ICTSUS805,Manage improvements in ICT sustainability,,ICTSUS
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),ICTSUS806,Lead applied research in ICT sustainability,,ICTSUS
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),TIK.2017.019,Menentukan prioritas proyek dan menyesuaikan kecepatan pelaksanaan dengan memaksimalkan sumber daya yang ada,Berlaku,
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),TIK.2017.039,Mengelola beberapa proyek terkait untuk Peningkatan kinerja organisasi,Berlaku,
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),BSBREL701A,Develop and cultivate collaborative partnerships and relationships (Mengembangkan dan Membina Kemitraan dan Hubungan Kolaboratif),Berlaku,Nomor 22 Tahun 2019
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT701A,Lead Research Into Identifying New Marketplace Opportunities (Memimpin Penelitian Dalam Mengidentifikasi Peluang Pasar Baru),Berlaku,Nomor 22 Tahun 2019
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT702A,Direct ICT services,,ICAICT
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT703A,Endorse business plan components for a new initiative,,ICAICT
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT704A,Direct ICT in a supply chain,,ICAICT
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT705A,Direct ICT procurement,,ICAICT
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT706A,Direct Outsourced ICT Services (Memimpin Layanan ICT Yang Dialihdayakan),Berlaku,Nomor 22 Tahun 2019
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT708A,Direct the development of a knowledge management strategy for a business,,ICAICT
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT709A,Facilitate business analysis,,ICAICT
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT710A,Synchronise IT projects,,ICAICT
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT711A,Manage an information architecture project,,ICAICT
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT712A,Develop a Business Intelligence Framework (Mengembangkan Kerangka Kerja Intelijen Bisnis),Berlaku,Nomor 22 Tahun 2019
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICAICT713A,Manage IT services,,ICAICT
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICASUS701A,Plan and manage virtualisation for IT sustainability,,ICASUS
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICASUS702A,Conduct a business case study for integrating sustainability in IT planning and design projects,,ICASUS
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICASUS703A,Research strategies using SAP solutions for sustainable economic and environmental outcomes,,ICASUS
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICTSUS7235A,Use ICT to improve sustainability outcomes,,ICTSUS
TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),ICTSUS7236A,Manage improvements in ICT sustainability,,ICTSUS
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),ICTICT802,Direct ICT services,,ICTICT
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),ICTICT810,Synchronise ICT projects,,ICTICT
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),ICTICT811,Manage an information architecture project,,ICTICT
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),ICTICT812,Develop a business intelligence framework,,ICTICT
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),ICTICT813,Manage ICT services,,ICTICT
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),ICTICT815,Manage automated ICT system applications using enterprise wide operating system,,ICTICT
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),ICTSUS805,Manage improvements in ICT sustainability,,ICTSUS
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),ICTSUS806,Lead applied research in ICT sustainability,,ICTSUS
TIK.ITG0701,MANAJER PEMULIHAN BENCANA (DISASTER RECOVERY MANAGER),J.611000.007.02,Merancang Pemulihan Jaringan,Berlaku,Nomor 321 Tahun 2016
TIK.ITG0701,MANAJER PEMULIHAN BENCANA (DISASTER RECOVERY MANAGER),J.63SAM00.021.2,Memantau Keamanan Sistem,Berlaku,Nomor 82 Tahun 2017
TIK.ITG0701,MANAJER PEMULIHAN BENCANA (DISASTER RECOVERY MANAGER),TIK.SM02.012.01,Mengelola Insiden Yang Terjadi,Dicabut,Nomor 610 Tahun 2012
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.025.01,Mengelola Sistem Pertahanan dan Perlindungan Keamanan Informasi,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.031.01,Mengelola Aspek Keamanan Sistem Informasi pada Setiap Kegiatan Upgrade/Peremajaan Sistem Informasi,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.036.01,Melaksanakan Uji Coba Sistem Pertahanan Keamanan Informasi,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.037.01,Mendeteksi Kerentanan (Vulnerability) Keamanan dan Potensi Pelanggaran,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.038.01,Melaksanakan Evaluasi Kelemahan (Vulnerability) Keamanan,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.039.01,Mengimplementasikan Koreksi Atas Kerentanan Keamanan Informasi,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.040.01,Mengelola Insiden Keamanan Informasi,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.043.01,Mengimplementasikan Manajemen Perbaikan/Respon yang Terkait dengan Keamanan Informasi,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.045.01,Mengelola Integritas Informasi,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.047.01,Merancang dan Mengelola Sistem Backup,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER),J.62090.048.01,Melaksanakan Kegiatan Pemulihan Data,Dicabut,Nomor 55 Tahun 2015
TIK.ITG0703,MANAJER PROYEK TIK  (ICT PROJECT MANAGER),M.702090.001.01,Mengelola Proyek Secara Terintegrasi (Project Integration Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0703,MANAJER PROYEK TIK  (ICT PROJECT MANAGER),M.702090.002.01,Mengelola Ruang Lingkup Proyek (Project Scope Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0703,MANAJER PROYEK TIK  (ICT PROJECT MANAGER),M.702090.003.01,Mengelola Jadwal Waktu Proyek (Project Time Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0703,MANAJER PROYEK TIK  (ICT PROJECT MANAGER),M.702090.004.01,Mengelola Biaya Proyek (Project Cost Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0703,MANAJER PROYEK TIK  (ICT PROJECT MANAGER),M.702090.005.01,Mengelola Kualitas Proyek (Project Quality Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0703,MANAJER PROYEK TIK  (ICT PROJECT MANAGER),M.702090.006.01,Mengelola Sumberdaya Manusia Proyek (Project Human Resource Managment),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0703,MANAJER PROYEK TIK  (ICT PROJECT MANAGER),M.702090.008.01,Mengelola Risiko Proyek (Project Risk Management),Berlaku,Nomor 349 Tahun 2014
TIK.ITG0704,MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER),J.620200.001.01,Menentukan Metode Pemodelan Arsitektur Bisnis dan Business Building Block yang Diperlukan,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0704,MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER),J.620200.002.01,"Menetapkan Matriks, Diagram, dan Jenis Kebutuhan (Requirements) yang Diperlukan pada Arsitektur Bisnis",Berlaku,Nomor 90 Tahun 2015
TIK.ITG0704,MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER),J.620200.003.01,"Menetapkan Baseline dan Target Arsitektur Bisnis, serta Kesenjangan antara Baseline dan Target Arsitektur Bisnis",Berlaku,Nomor 90 Tahun 2015
TIK.ITG0704,MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER),J.620200.004.01,Menyusun Roadmap Arsitektur Bisnis,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0704,MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER),J.620200.005.01,Mengevaluasi Artefak Arsitektur dalam Architecture Landscape yang Terkait dengan Arsitektur Bisnis,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0704,MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER),J.620200.006.01,Memfinalisasikan Arsitektur Bisnis,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0704,MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER),J.620200.007.01,"Menentukan Metode Pemodelan, Sudut Pandang dan Perangkat Bantu untuk Merancang Arsitektur Data",Berlaku,Nomor 90 Tahun 2015
TIK.ITG0704,MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER),J.620200.008.01,Menyusun Roadmap dan Komponen Arsitektur Data,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0705,PERENCANA TRANSFORMASI DIGITAL 4.0 (DIGITAL TRANSFORMATION PLANNER 4.0),C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Berlaku,Nomor 331 Tahun 2020
TIK.ITG0705,PERENCANA TRANSFORMASI DIGITAL 4.0 (DIGITAL TRANSFORMATION PLANNER 4.0),C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Berlaku,Nomor 331 Tahun 2020
TIK.ITG0705,PERENCANA TRANSFORMASI DIGITAL 4.0 (DIGITAL TRANSFORMATION PLANNER 4.0),C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Berlaku,Nomor 331 Tahun 2020
TIK.ITG0705,PERENCANA TRANSFORMASI DIGITAL 4.0 (DIGITAL TRANSFORMATION PLANNER 4.0),J.620200.001.01,Menentukan Metode Pemodelan Arsitektur Bisnis dan Business Building Block yang Diperlukan,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0705,PERENCANA TRANSFORMASI DIGITAL 4.0 (DIGITAL TRANSFORMATION PLANNER 4.0),J.620200.005.01,Mengevaluasi Artefak Arsitektur dalam Architecture Landscape yang Terkait dengan Arsitektur Bisnis,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0705,PERENCANA TRANSFORMASI DIGITAL 4.0 (DIGITAL TRANSFORMATION PLANNER 4.0),J.620200.006.01,Memfinalisasikan Arsitektur Bisnis,Berlaku,Nomor 90 Tahun 2015
TIK.ITG0706,MANAJER KONSULTAN TI (IT CONSULTANT MANAGER),ICTICT510,Determine appropriate ICT strategies and solutions,,ICTICT
TIK.ITG0706,MANAJER KONSULTAN TI (IT CONSULTANT MANAGER),ICTSUS801,Plan and manage virtualisation for ICT sustainability,,ICTSUS
TIK.ITG0706,MANAJER KONSULTAN TI (IT CONSULTANT MANAGER),ICTSUS802,Conduct a business case study for integrating sustainability in ICT planning and design projects,,ICTSUS
TIK.ITG0706,MANAJER KONSULTAN TI (IT CONSULTANT MANAGER),ICTSUS803,Research strategies using SAP solutions for sustainable economic and environmental outcomes,,ICTSUS
TIK.ITG0707,MANAJER AUDIT TI (IT AUDIT MANAGER),M.70ATI00.001.1,Menentukan Cakupan Audit Teknologi Informasi,Berlaku,Nomor 231 Tahun 2024
TIK.ITG0707,MANAJER AUDIT TI (IT AUDIT MANAGER),M.70ATI00.004.2,Mengalokasikan Sumber Daya Audit Teknologi Informasi,Berlaku,Nomor 231 Tahun 2024
TIK.ITG0707,MANAJER AUDIT TI (IT AUDIT MANAGER),M.70ATI00.016.1,Menyajikan Laporan Audit Teknologi Informasi,Berlaku,Nomor 231 Tahun 2024
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),J.620100.025.02,Melakukan Debugging,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),J.620100.031.01,Melakukan Profiling Program,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),J.620100.033.02,Melaksanakan Pengujian Unit Program,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),J.620100.034.02,Melaksanakan Pengujian Integrasi Program,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),J.620100.035.02,Melaksanakan Pengujian Program Sistem,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),J.620100.037.01,Melaksanakan Stress Test,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),M.702000.008.01,Melaksanakan Prosedur Audit atas Aplikasi Teknologi Informasi,Dicabut,Nomor 48 Tahun 2015
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),M.702000.009.01,Melaksanakan Prosedur Audit atas Infrastruktur Teknologi Informasi,Dicabut,Nomor 48 Tahun 2015
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),M.70ATI00.014.2,Menyusun Hasil Audit Teknologi Informasi,Berlaku,Nomor 231 Tahun 2024
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),M.70ATI00.015.2,Menyusun Rekomendasi Audit Teknologi Informasi,Berlaku,Nomor 231 Tahun 2024
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),TIK.SM02.011.01,Menetapkan Resolusi Dan Masalah Terhadap Seluruh Aktivitas Seluruh Siklus Hidup TI,Dicabut,Nomor 610 Tahun 2012
TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),TIK.SM03.006.01,Memantau Pelayanan Prosedur Tingkat Layanan,Dicabut,Nomor 610 Tahun 2012
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),J.620100.025.02,Melakukan Debugging,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),J.620100.031.01,Melakukan Profiling Program,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),J.620100.033.02,Melaksanakan Pengujian Unit Program,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),J.620100.034.02,Melaksanakan Pengujian Integrasi Program,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),J.620100.035.02,Melaksanakan Pengujian Program Sistem,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),J.620100.037.01,Melaksanakan Stress Test,Berlaku,Nomor 282 Tahun 2016
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),M.70ATI00.014.2,Menyusun Hasil Audit Teknologi Informasi,Berlaku,Nomor 231 Tahun 2024
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),M.70ATI00.015.2,Menyusun Rekomendasi Audit Teknologi Informasi,Berlaku,Nomor 231 Tahun 2024
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),TIK.SM02.011.01,Menetapkan Resolusi Dan Masalah Terhadap Seluruh Aktivitas Seluruh Siklus Hidup TI,Dicabut,Nomor 610 Tahun 2012
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),TIK.SM03.006.01,Memantau Pelayanan Prosedur Tingkat Layanan,Dicabut,Nomor 610 Tahun 2012
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),,Melaksanakan prosedur audit atas aplikasi teknologi informasi,,
TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),,Melaksanakan prosedur audit atas infrastruktur teknologi informasi,,
TIK.ITG0601,AHLI METODE SCRUM (SCRUM MASTER),,Memahami prinsip-prinsip Scrum,,
TIK.ITG0601,AHLI METODE SCRUM (SCRUM MASTER),,Memimpin dan memfasilitasi tim scrum,,
TIK.ITG0601,AHLI METODE SCRUM (SCRUM MASTER),,Mengelola proses scrum,,
TIK.ITG0601,AHLI METODE SCRUM (SCRUM MASTER),,Mengukur dan meningkatkan kinerja tim scrum,,
TIK.ITG0601,AHLI METODE SCRUM (SCRUM MASTER),,Berkolaborasi dengan Berbagai Pemangku Kepentingan,,
TIK.ITG0601,AHLI METODE SCRUM (SCRUM MASTER),,Mengkomunikasikan backlog produk kepada tim pengembangan,,
TIK.ITG0602,PEMILIK PRODUK (PRODUCT OWNER),M.702090.002.01,Mengelola Ruang Lingkup Proyek (Project Scope Management),Berlaku,Nomor 349 Tahun 2014
